#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    450       1.1029278e+00       1.3175340e+00       1.6261801e-02
    451       1.1040281e+00       1.3170606e+00       1.6232634e-02
    452       1.1051811e+00       1.3165918e+00       1.6203488e-02
    453       1.1063856e+00       1.3161278e+00       1.6174361e-02
    454       1.1076405e+00       1.3156686e+00       1.6145253e-02
    455       1.1089451e+00       1.3152143e+00       1.6116160e-02
    456       1.1102980e+00       1.3147649e+00       1.6087082e-02
    457       1.1116979e+00       1.3143205e+00       1.6058016e-02
    458       1.1131433e+00       1.3138813e+00       1.6028961e-02
    459       1.1146323e+00       1.3134472e+00       1.5999916e-02
    460       1.1161627e+00       1.3130183e+00       1.5970881e-02
    461       1.1177327e+00       1.3125947e+00       1.5941854e-02
    462       1.1193400e+00       1.3121764e+00       1.5912835e-02
