#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
    437       8.8838026e-01       1.0540548e+00       1.2045521e-02
    438       8.8869429e-01       1.0536773e+00       1.2023935e-02
    439       8.8905529e-01       1.0533023e+00       1.2002392e-02
    440       8.8944457e-01       1.0529299e+00       1.1980890e-02
    441       8.8987167e-01       1.0525602e+00       1.1959426e-02
    442       8.9033668e-01       1.0521931e+00       1.1937999e-02
    443       8.9083987e-01       1.0518289e+00       1.1916606e-02
    444       8.9138154e-01       1.0514675e+00       1.1895245e-02
    445       8.9196222e-01       1.0511091e+00       1.1873913e-02
    446       8.9258460e-01       1.0507537e+00       1.1852608e-02
    447       8.9324434e-01       1.0504013e+00       1.1831329e-02
    448       8.9394145e-01       1.0500520e+00       1.1810073e-02
    449       8.9467827e-01       1.0497060e+00       1.1788839e-02
    450       8.9545956e-01       1.0493632e+00       1.1767624e-02
    451       8.9627643e-01       1.0490238e+00       1.1746426e-02
    452       8.9713492e-01       1.0486878e+00       1.1725244e-02
    453       8.9802965e-01       1.0483552e+00       1.1704076e-02
    454       8.9896666e-01       1.0480261e+00       1.1682921e-02
    455       8.9993857e-01       1.0477007e+00       1.1661777e-02
    456       9.0094445e-01       1.0473788e+00       1.1640642e-02
    457       9.0199223e-01       1.0470607e+00       1.1619517e-02
    458       9.0306741e-01       1.0467463e+00       1.1598399e-02
    459       9.0417750e-01       1.0464357e+00       1.1577289e-02
    460       9.0532755e-01       1.0461289e+00       1.1556184e-02
    461       9.0650057e-01       1.0458261e+00       1.1535085e-02
    462       9.0769490e-01       1.0455271e+00       1.1513991e-02
