#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
    291      -5.0173003e+00      -5.5135305e+00       3.3680736e-02
    292      -5.0176715e+00      -5.5118323e+00       3.3608173e-02
    293      -5.0183345e+00      -5.5101481e+00       3.3535647e-02
    294      -5.0188356e+00      -5.5084769e+00       3.3463192e-02
    295      -5.0194763e+00      -5.5068193e+00       3.3390789e-02
    296      -5.0195012e+00      -5.5051729e+00       3.3318544e-02
    297      -5.0199678e+00      -5.5035393e+00       3.3246388e-02
    298      -5.0204224e+00      -5.5019181e+00       3.3174327e-02
    299      -5.0208650e+00      -5.5003092e+00       3.3102366e-02
    300      -5.0214464e+00      -5.4987130e+00       3.3030487e-02
    301      -5.0220155e+00      -5.4971293e+00       3.2958697e-02
    302      -5.0224210e+00      -5.4955574e+00       3.2887024e-02
    303      -5.0226632e+00      -5.4939967e+00       3.2815498e-02
    304      -5.0233471e+00      -5.4924485e+00       3.2744053e-02
    305      -5.0235669e+00      -5.4909112e+00       3.2672763e-02
    306      -5.0240784e+00      -5.4893856e+00       3.2601588e-02
    307      -5.0244296e+00      -5.4878711e+00       3.2530553e-02
    308      -5.0249235e+00      -5.4863680e+00       3.2459641e-02
    309      -5.0249564e+00      -5.4848747e+00       3.2388922e-02
    310      -5.0251341e+00      -5.4833917e+00       3.2318376e-02
    311      -5.0257596e+00      -5.4819202e+00       3.2247940e-02
    312      -5.0262307e+00      -5.4804597e+00       3.2177639e-02
    313      -5.0259448e+00      -5.4790076e+00       3.2107585e-02
    314      -5.0262624e+00      -5.4775657e+00       3.2037690e-02
    315      -5.0267323e+00      -5.4761345e+00       3.1967935e-02
    316      -5.0272047e+00      -5.4747138e+00       3.1898323e-02
    317      -5.0276808e+00      -5.4733036e+00       3.1828854e-02
    318      -5.0278609e+00      -5.4719028e+00       3.1759571e-02
    319      -5.0281991e+00      -5.4705119e+00       3.1690455e-02
    320      -5.0286967e+00      -5.4691313e+00       3.1621484e-02
    321      -5.0287513e+00      -5.4677594e+00       3.1552721e-02
    322      -5.0295740e+00      -5.4663985e+00       3.1484062e-02
    323      -5.0304100e+00      -5.4650487e+00       3.1415510e-02
    324      -5.0311101e+00      -5.4637094e+00       3.1347085e-02
    325      -5.0316756e+00      -5.4623801e+00       3.1278806e-02
    326      -5.0322582e+00      -5.4610607e+00       3.1210674e-02
    327      -5.0327073e+00      -5.4597507e+00       3.1142706e-02
    328      -5.0331747e+00      -5.4584502e+00       3.1074903e-02
    329      -5.0338121e+00      -5.4571595e+00       3.1007243e-02
    330      -5.0343175e+00      -5.4558782e+00       3.0939745e-02
    331      -5.0349936e+00      -5.4546066e+00       3.0872389e-02
    332      -5.0353875e+00      -5.4533439e+00       3.0805212e-02
    333      -5.0362531e+00      -5.4520914e+00       3.0738157e-02
    334      -5.0369855e+00      -5.4508485e+00       3.0671242e-02
    335      -5.0374329e+00      -5.4496145e+00       3.0604503e-02
    336      -5.0385011e+00      -5.4483909e+00       3.0537867e-02
    337      -5.0391306e+00      -5.4471765e+00       3.0471388e-02
    338      -5.0397725e+00      -5.4459712e+00       3.0405066e-02
    339      -5.0405763e+00      -5.4447753e+00       3.0338883e-02
    340      -5.0412384e+00      -5.4435884e+00       3.0272858e-02
    341      -5.0416055e+00      -5.4424096e+00       3.0207025e-02
    342      -5.0419768e+00      -5.4412387e+00       3.0141383e-02
    343      -5.0426519e+00      -5.4400767e+00       3.0075900e-02
    344      -5.0434765e+00      -5.4389238e+00       3.0010559e-02
    345      -5.0441453e+00      -5.4377795e+00       2.9945380e-02
    346      -5.0448064e+00      -5.4366437e+00       2.9880363e-02
    347      -5.0453059e+00      -5.4355159e+00       2.9815528e-02
    348      -5.0457917e+00      -5.4343960e+00       2.9750876e-02
    349      -5.0464120e+00      -5.4332843e+00       2.9686393e-02
    350      -5.0470123e+00      -5.4321807e+00       2.9622082e-02
    351      -5.0475891e+00      -5.4310850e+00       2.9557946e-02
    352      -5.0484410e+00      -5.4299980e+00       2.9493958e-02
    353      -5.0488097e+00      -5.4289181e+00       2.9430167e-02
    354      -5.0492968e+00      -5.4278457e+00       2.9366562e-02
    355      -5.0498988e+00      -5.4267811e+00       2.9303131e-02
    356      -5.0503108e+00      -5.4257236e+00       2.9239895e-02
    357      -5.0506810e+00      -5.4246730e+00       2.9176856e-02
    358      -5.0507046e+00      -5.4236284e+00       2.9114050e-02
    359      -5.0509839e+00      -5.4225904e+00       2.9051451e-02
    360      -5.0509128e+00      -5.4215580e+00       2.8989092e-02
    361      -5.0510934e+00      -5.4205318e+00       2.8926948e-02
    362      -5.0510703e+00      -5.4195112e+00       2.8865039e-02
