#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    241       6.6692372e-01       8.0203624e-01       2.3757083e-02
    242       6.6755947e-01       8.0148055e-01       2.3665411e-02
    243       6.6820354e-01       8.0093209e-01       2.3574378e-02
    244       6.6885758e-01       8.0039080e-01       2.3483975e-02
    245       6.6952295e-01       7.9985665e-01       2.3394196e-02
    246       6.7019968e-01       7.9932959e-01       2.3305034e-02
    247       6.7088841e-01       7.9880958e-01       2.3216482e-02
    248       6.7159037e-01       7.9829660e-01       2.3128534e-02
    249       6.7230709e-01       7.9779062e-01       2.3041182e-02
    250       6.7303951e-01       7.9729161e-01       2.2954420e-02
    251       6.7378794e-01       7.9679957e-01       2.2868242e-02
    252       6.7455308e-01       7.9631446e-01       2.2782639e-02
    253       6.7533578e-01       7.9583629e-01       2.2697607e-02
    254       6.7613651e-01       7.9536503e-01       2.2613138e-02
    255       6.7695615e-01       7.9490068e-01       2.2529226e-02
    256       6.7779584e-01       7.9444324e-01       2.2445865e-02
    257       6.7865578e-01       7.9399270e-01       2.2363048e-02
    258       6.7953647e-01       7.9354907e-01       2.2280769e-02
    259       6.8043849e-01       7.9311235e-01       2.2199023e-02
    260       6.8136250e-01       7.9268255e-01       2.2117802e-02
    261       6.8230910e-01       7.9225966e-01       2.2037102e-02
    262       6.8327835e-01       7.9184370e-01       2.1956917e-02
    263       6.8427165e-01       7.9143468e-01       2.1877240e-02
    264       6.8528982e-01       7.9103262e-01       2.1798065e-02
    265       6.8633286e-01       7.9063752e-01       2.1719389e-02
    266       6.8740121e-01       7.9024942e-01       2.1641204e-02
    267       6.8849457e-01       7.8986831e-01       2.1563507e-02
    268       6.8961263e-01       7.8949422e-01       2.1486290e-02
    269       6.9075549e-01       7.8912717e-01       2.1409551e-02
    270       6.9192356e-01       7.8876715e-01       2.1333283e-02
    271       6.9311709e-01       7.8841420e-01       2.1257482e-02
    272       6.9433619e-01       7.8806833e-01       2.1182143e-02
    273       6.9558109e-01       7.8772954e-01       2.1107262e-02
    274       6.9685141e-01       7.8739787e-01       2.1032834e-02
    275       6.9814683e-01       7.8707332e-01       2.0958854e-02
    276       6.9946747e-01       7.8675591e-01       2.0885320e-02
    277       7.0081388e-01       7.8644565e-01       2.0812226e-02
    278       7.0218579e-01       7.8614256e-01       2.0739569e-02
    279       7.0358272e-01       7.8584664e-01       2.0667344e-02
    280       7.0500439e-01       7.8555792e-01       2.0595549e-02
