--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
1510.0        0.79171        0.62250       -0.4442945233        0.0006318472        0.52615        0.01657
1510.0        0.79171        0.62250       -0.4442945233        0.0006318472        0.52780        0.00008
1510.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52587        1.00000
1510.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52073        0.00014
1510.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.53218        0.06313
1560.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51690        0.00068
1560.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52911        0.04833
1560.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52432        0.00471
1560.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51834        0.00031
1560.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52778        0.37291
1610.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51958        0.00490
1610.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52102        0.00169
1610.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52664        0.01516
1610.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51841        0.00012
1610.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52730        0.00128
1660.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52038        0.00016
1660.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52750        0.00678
1660.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.53354        0.01498
1660.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52131        0.00637
1660.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51822        0.00535
1710.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52161        0.01596
1710.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.51687        0.00007
1710.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.53111        0.04194
1710.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52154        0.00334
1710.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.53185        0.04630
1760.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52577        0.02872
1760.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52198        0.00414
1760.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52309        0.00043
1760.0        0.79788        0.61409       -0.4457060932        0.0004557079        0.52430        0.00788
1760.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52634        0.41120
1810.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52850        0.41126
1810.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.53249        0.00873
1810.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52657        0.00189
1810.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.51899        0.00867
1810.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.53182        0.01253
1860.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52284        0.02500
1860.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52666        0.01080
1860.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52367        0.69959
1860.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52178        0.03943
1860.0        0.79490        0.61628       -0.4452011583        0.0007374162        0.52534        0.01108
1910.0        0.80806        0.61819       -0.4437103801        0.0007860226        0.52930        0.05800
1910.0        0.80806        0.61819       -0.4437103801        0.0007860226        0.52888        0.48784
1910.0        0.80806        0.61819       -0.4437103801        0.0007860226        0.52356        0.28239
1910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52532        1.00000
1910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52137        0.00540
1960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52003        0.00025
1960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52810        0.04997
1960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51817        0.00000
1960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51824        0.00462
1960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52086        0.00281
2010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52283        0.00031
2010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53320        0.00104
2010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52159        0.00252
2010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52175        0.00792
2010.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53046        0.00236
2060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52671        0.00386
2060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51856        0.00005
2060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52761        0.00175
2060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53433        0.00016
2060.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51899        0.00030
2110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52540        0.00263
2110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52401        0.01214
2110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52425        0.01196
2110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51911        0.00095
2110.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52184        0.01416
2160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52681        0.00051
2160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52354        0.00368
2160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52239        0.00045
2160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52293        0.03688
2160.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52190        0.00063
2210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52159        0.00926
2210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51950        0.00005
2210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52325        0.00006
2210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52637        0.46491
2210.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52597        0.00000
2260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52513        0.00674
2260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52322        0.00179
2260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52156        0.01788
2260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52896        0.05073
2260.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52919        0.04433
2310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53493        0.00000
2310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52288        0.05966
2310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53079        0.00321
2310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52786        0.00000
2310.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52081        0.00052
2360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52682        0.00003
2360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52180        0.00005
2360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52092        0.00030
2360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51474        0.00000
2360.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53171        0.00012
2410.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51733        0.00002
2410.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51968        0.00012
2410.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51921        0.00042
2410.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51613        0.00002
2410.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51791        0.00003
2460.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52708        0.00202
2460.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52367        0.00164
2460.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52120        0.00882
2460.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52485        0.01719
2460.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52638        0.00052
2510.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53238        0.00840
2510.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51402        0.00000
2510.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52072        0.00026
2510.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52255        0.00261
2510.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53444        0.00003
2560.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52728        0.00501
2560.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52694        0.00977
2560.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52597        0.03345
2560.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53367        0.00004
2560.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53196        0.00004
2610.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52601        0.00002
2610.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52006        0.00011
2610.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52807        0.00023
2610.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52726        0.00001
2610.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52446        0.00165
2660.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52534        0.01112
2660.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52154        0.00008
2660.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52466        0.01493
2660.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52835        0.00137
2660.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52747        0.00016
2710.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52594        0.00165
2710.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52189        0.00282
2710.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53323        0.00175
2710.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52606        0.00000
2710.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53323        0.30909
2760.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52341        0.00010
2760.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51664        0.00000
2760.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53000        0.00097
2760.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52444        0.00005
2760.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52088        0.00000
2810.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52430        0.00062
2810.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52233        0.00056
2810.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52544        0.00013
2810.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53246        0.00948
2810.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52065        0.00000
2860.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52329        0.00615
2860.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53410        0.00386
2860.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52060        0.00506
2860.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.53345        0.00154
2860.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51551        0.00000
2910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51738        0.00004
2910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52451        0.00031
2910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51669        0.00000
2910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52833        0.02213
2910.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52710        0.00037
2960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52898        0.00002
2960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52946        0.00000
2960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52415        0.00065
2960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.51651        0.00000
2960.0        0.79360        0.61423       -0.4459154761        0.0006284599        0.52681        0.00116
