            MU:         SIGMA:                <H>:              ERROR:
      0.5000000      0.3280000           0.7882477           0.0053212
      0.5000000      0.3440000           0.5917192           0.0073696
      0.5000000      0.3600000           0.4267948           0.0069334
      0.5000000      0.3760000           0.3136866           0.0034929
      0.5000000      0.3920000           0.2067949           0.0028627
      0.5000000      0.4080000           0.1369480           0.0032369
      0.5000000      0.4240000           0.0784173           0.0016891
      0.5000000      0.4400000           0.0286214           0.0016278
      0.5000000      0.4560000          -0.0027375           0.0024500
      0.5000000      0.4720000          -0.0358992           0.0023529
      0.5000000      0.4880000          -0.0637590           0.0016006
      0.5000000      0.5040000          -0.0837977           0.0013467
      0.5000000      0.5200000          -0.1011294           0.0017247
      0.5000000      0.5360000          -0.1210810           0.0014880
      0.5000000      0.5520000          -0.1312446           0.0017744
      0.5000000      0.5680000          -0.1478624           0.0012078
      0.5000000      0.5840000          -0.1601448           0.0013934
      0.5000000      0.6000000          -0.1749098           0.0018288
      0.5000000      0.6160000          -0.1896754           0.0007784
      0.5000000      0.6320000          -0.1983410           0.0018469
      0.5000000      0.6480000          -0.2100219           0.0017150
      0.5000000      0.6640000          -0.2177695           0.0015860
      0.5000000      0.6800000          -0.2262049           0.0013173
      0.5000000      0.6960000          -0.2382597           0.0004840
      0.5000000      0.7120000          -0.2446127           0.0011326
      0.5000000      0.7280000          -0.2518169           0.0010882
      0.5000000      0.7440000          -0.2578559           0.0020195
