            MU:         SIGMA:                <H>:              ERROR:
      0.6700000      0.5500000          -0.3567969           0.0010995
      0.6700000      0.5600000          -0.3633166           0.0008504
      0.6700000      0.5700000          -0.3718452           0.0007880
      0.6700000      0.5800000          -0.3763708           0.0005760
      0.6700000      0.5900000          -0.3808919           0.0009835
      0.6700000      0.6000000          -0.3833459           0.0009035
      0.6700000      0.6100000          -0.3841532           0.0010198
      0.6700000      0.6200000          -0.3867151           0.0007587
      0.6700000      0.6300000          -0.3869605           0.0010490
      0.6700000      0.6400000          -0.3884457           0.0009217
      0.6700000      0.6500000          -0.3872511           0.0009235
      0.6700000      0.6600000          -0.3863378           0.0007011
      0.6700000      0.6700000          -0.3849064           0.0007069
      0.6700000      0.6800000          -0.3832994           0.0009895
      0.6700000      0.6900000          -0.3792588           0.0009940
      0.6700000      0.7000000          -0.3761782           0.0013764
      0.6700000      0.7100000          -0.3718993           0.0016260
      0.6700000      0.7200000          -0.3678208           0.0011678
      0.6700000      0.7300000          -0.3624762           0.0016157
      0.6700000      0.7400000          -0.3630971           0.0010269
      0.6700000      0.7500000          -0.3500400           0.0014931
      0.6700000      0.7600000          -0.3512152           0.0013743
      0.6700000      0.7700000          -0.3423351           0.0013903
      0.6700000      0.7800000          -0.3347382           0.0025315
      0.6700000      0.7900000          -0.3314935           0.0010053
      0.6700000      0.8000000          -0.3252812           0.0023760
      0.6800000      0.4000000           0.2229655           0.0059933
      0.6800000      0.4100000           0.1386845           0.0027663
      0.6800000      0.4200000           0.0645496           0.0053813
      0.6800000      0.4300000          -0.0004603           0.0028624
      0.6800000      0.4400000          -0.0546745           0.0039114
      0.6800000      0.4500000          -0.1076597           0.0043194
      0.6800000      0.4600000          -0.1558238           0.0030570
      0.6800000      0.4700000          -0.1940424           0.0022735
      0.6800000      0.4800000          -0.2229805           0.0027129
      0.6800000      0.4900000          -0.2600183           0.0029741
      0.6800000      0.5000000          -0.2835536           0.0019481
      0.6800000      0.5100000          -0.3038353           0.0020316
      0.6800000      0.5200000          -0.3210516           0.0018379
      0.6800000      0.5300000          -0.3373159           0.0012387
      0.6800000      0.5400000          -0.3519931           0.0012051
      0.6800000      0.5500000          -0.3625863           0.0010794
      0.6800000      0.5600000          -0.3723883           0.0012071
      0.6800000      0.5700000          -0.3796028           0.0008649
      0.6800000      0.5800000          -0.3842686           0.0007967
      0.6800000      0.5900000          -0.3898459           0.0008700
      0.6800000      0.6000000          -0.3920337           0.0006386
      0.6800000      0.6100000          -0.3933632           0.0007736
      0.6800000      0.6200000          -0.3957787           0.0007951
      0.6800000      0.6300000          -0.3952698           0.0008671
      0.6800000      0.6400000          -0.3938309           0.0005996
      0.6800000      0.6500000          -0.3942080           0.0006050
      0.6800000      0.6600000          -0.3934129           0.0013460
      0.6800000      0.6700000          -0.3921055           0.0013708
      0.6800000      0.6800000          -0.3871127           0.0013959
      0.6800000      0.6900000          -0.3854399           0.0009074
      0.6800000      0.7000000          -0.3824372           0.0010092
      0.6800000      0.7100000          -0.3756790           0.0009144
      0.6800000      0.7200000          -0.3744071           0.0012406
      0.6800000      0.7300000          -0.3664862           0.0011674
      0.6800000      0.7400000          -0.3605350           0.0012647
      0.6800000      0.7500000          -0.3550619           0.0016109
      0.6800000      0.7600000          -0.3524623           0.0018817
      0.6800000      0.7700000          -0.3465047           0.0017255
      0.6800000      0.7800000          -0.3348622           0.0024307
      0.6800000      0.7900000          -0.3319975           0.0015664
      0.6800000      0.8000000          -0.3202569           0.0016320
      0.6900000      0.4000000           0.2243385           0.0055285
      0.6900000      0.4100000           0.1527834           0.0042437
      0.6900000      0.4200000           0.0675431           0.0040680
      0.6900000      0.4300000           0.0015443           0.0028622
      0.6900000      0.4400000          -0.0586284           0.0028675
      0.6900000      0.4500000          -0.1132866           0.0018472
      0.6900000      0.4600000          -0.1524510           0.0021309
      0.6900000      0.4700000          -0.1967791           0.0024625
      0.6900000      0.4800000          -0.2321567           0.0023653
      0.6900000      0.4900000          -0.2623140           0.0019347
      0.6900000      0.5000000          -0.2888844           0.0011198
      0.6900000      0.5100000          -0.3093210           0.0026117
      0.6900000      0.5200000          -0.3269345           0.0010041
      0.6900000      0.5300000          -0.3432056           0.0005515
      0.6900000      0.5400000          -0.3591351           0.0010683
      0.6900000      0.5500000          -0.3710788           0.0009899
      0.6900000      0.5600000          -0.3798835           0.0008729
      0.6900000      0.5700000          -0.3861779           0.0007700
      0.6900000      0.5800000          -0.3916595           0.0008373
      0.6900000      0.5900000          -0.3964869           0.0008167
      0.6900000      0.6000000          -0.3988089           0.0009755
      0.6900000      0.6100000          -0.4023638           0.0006928
      0.6900000      0.6200000          -0.4034997           0.0008858
      0.6900000      0.6300000          -0.4041709           0.0006889
      0.6900000      0.6400000          -0.4031666           0.0010023
      0.6900000      0.6500000          -0.4002399           0.0007518
      0.6900000      0.6600000          -0.4001624           0.0008588
      0.6900000      0.6700000          -0.3957403           0.0006038
      0.6900000      0.6800000          -0.3950766           0.0011311
      0.6900000      0.6900000          -0.3879561           0.0009155
      0.6900000      0.7000000          -0.3839510           0.0011076
      0.6900000      0.7100000          -0.3801240           0.0011621
      0.6900000      0.7200000          -0.3734509           0.0008361
      0.6900000      0.7300000          -0.3712990           0.0012759
      0.6900000      0.7400000          -0.3637699           0.0007318
      0.6900000      0.7500000          -0.3564677           0.0018429
      0.6900000      0.7600000          -0.3530702           0.0016301
      0.6900000      0.7700000          -0.3451376           0.0015628
      0.6900000      0.7800000          -0.3413400           0.0026015
      0.6900000      0.7900000          -0.3282554           0.0020563
      0.6900000      0.8000000          -0.3228616           0.0024045
      0.7000000      0.4000000           0.2305504           0.0037853
      0.7000000      0.4100000           0.1581711           0.0045627
      0.7000000      0.4200000           0.0737857           0.0030994
      0.7000000      0.4300000           0.0039535           0.0038055
      0.7000000      0.4400000          -0.0529721           0.0022499
      0.7000000      0.4500000          -0.1070576           0.0039872
      0.7000000      0.4600000          -0.1494358           0.0025658
      0.7000000      0.4700000          -0.1959781           0.0029600
      0.7000000      0.4800000          -0.2311763           0.0014421
      0.7000000      0.4900000          -0.2616315           0.0017940
      0.7000000      0.5000000          -0.2913745           0.0023011
      0.7000000      0.5100000          -0.3142801           0.0021507
      0.7000000      0.5200000          -0.3338043           0.0013426
      0.7000000      0.5300000          -0.3493522           0.0023668
      0.7000000      0.5400000          -0.3637046           0.0006760
      0.7000000      0.5500000          -0.3766739           0.0009511
      0.7000000      0.5600000          -0.3872737           0.0010611
      0.7000000      0.5700000          -0.3934863           0.0007406
      0.7000000      0.5800000          -0.3986410           0.0007715
      0.7000000      0.5900000          -0.4022430           0.0005535
      0.7000000      0.6000000          -0.4065927           0.0006801
      0.7000000      0.6100000          -0.4083512           0.0006123
      0.7000000      0.6200000          -0.4104088           0.0005971
      0.7000000      0.6300000          -0.4109071           0.0005245
      0.7000000      0.6400000          -0.4096402           0.0007585
      0.7000000      0.6500000          -0.4081425           0.0010965
      0.7000000      0.6600000          -0.4051615           0.0007486
      0.7000000      0.6700000          -0.4014609           0.0010310
      0.7000000      0.6800000          -0.3973435           0.0012396
      0.7000000      0.6900000          -0.3943829           0.0013501
      0.7000000      0.7000000          -0.3907529           0.0008207
      0.7000000      0.7100000          -0.3833827           0.0012853
      0.7000000      0.7200000          -0.3804576           0.0010860
      0.7000000      0.7300000          -0.3744576           0.0012546
      0.7000000      0.7400000          -0.3689444           0.0009760
      0.7000000      0.7500000          -0.3625004           0.0010846
      0.7000000      0.7600000          -0.3514556           0.0017624
      0.7000000      0.7700000          -0.3413509           0.0021697
      0.7000000      0.7800000          -0.3384632           0.0021169
      0.7000000      0.7900000          -0.3297945           0.0029828
      0.7000000      0.8000000          -0.3212512           0.0025048
      0.7100000      0.4000000           0.2367144           0.0048630
      0.7100000      0.4100000           0.1539904           0.0035716
      0.7100000      0.4200000           0.0820461           0.0038961
      0.7100000      0.4300000           0.0108119           0.0035151
      0.7100000      0.4400000          -0.0509208           0.0018476
      0.7100000      0.4500000          -0.1097399           0.0027434
      0.7100000      0.4600000          -0.1561015           0.0035642
      0.7100000      0.4700000          -0.1934506           0.0030562
      0.7100000      0.4800000          -0.2362152           0.0014172
      0.7100000      0.4900000          -0.2666049           0.0024042
      0.7100000      0.5000000          -0.2899642           0.0012661
      0.7100000      0.5100000          -0.3189922           0.0020549
      0.7100000      0.5200000          -0.3374233           0.0014140
      0.7100000      0.5300000          -0.3560364           0.0013985
      0.7100000      0.5400000          -0.3699737           0.0010628
      0.7100000      0.5500000          -0.3827109           0.0009527
      0.7100000      0.5600000          -0.3891946           0.0013257
      0.7100000      0.5700000          -0.3991048           0.0009648
      0.7100000      0.5800000          -0.4047252           0.0009067
      0.7100000      0.5900000          -0.4116523           0.0006973
      0.7100000      0.6000000          -0.4117768           0.0008281
      0.7100000      0.6100000          -0.4154431           0.0010156
      0.7100000      0.6200000          -0.4164292           0.0006999
      0.7100000      0.6300000          -0.4150575           0.0007097
      0.7100000      0.6400000          -0.4143656           0.0009805
      0.7100000      0.6500000          -0.4123053           0.0005866
      0.7100000      0.6600000          -0.4090095           0.0008616
      0.7100000      0.6700000          -0.4071824           0.0008718
      0.7100000      0.6800000          -0.4032764           0.0008945
      0.7100000      0.6900000          -0.3980311           0.0007574
      0.7100000      0.7000000          -0.3932733           0.0016650
      0.7100000      0.7100000          -0.3876096           0.0006484
      0.7100000      0.7200000          -0.3807389           0.0016696
      0.7100000      0.7300000          -0.3759391           0.0020694
      0.7100000      0.7400000          -0.3684218           0.0021396
      0.7100000      0.7500000          -0.3662897           0.0012784
      0.7100000      0.7600000          -0.3581205           0.0017678
      0.7100000      0.7700000          -0.3468498           0.0020134
      0.7100000      0.7800000          -0.3381030           0.0018685
      0.7100000      0.7900000          -0.3278465           0.0023393
      0.7100000      0.8000000          -0.3213908           0.0025673
      0.7200000      0.4000000           0.2475457           0.0048229
      0.7200000      0.4100000           0.1674115           0.0043968
      0.7200000      0.4200000           0.0800508           0.0055897
      0.7200000      0.4300000           0.0161412           0.0045737
      0.7200000      0.4400000          -0.0412538           0.0030524
      0.7200000      0.4500000          -0.1060375           0.0036548
      0.7200000      0.4600000          -0.1506347           0.0020372
      0.7200000      0.4700000          -0.1930559           0.0018755
      0.7200000      0.4800000          -0.2298422           0.0031837
      0.7200000      0.4900000          -0.2645560           0.0028999
      0.7200000      0.5000000          -0.2967370           0.0022196
      0.7200000      0.5100000          -0.3208235           0.0017358
      0.7200000      0.5200000          -0.3430277           0.0013196
      0.7200000      0.5300000          -0.3573603           0.0011313
      0.7200000      0.5400000          -0.3748783           0.0009268
      0.7200000      0.5500000          -0.3887434           0.0012031
      0.7200000      0.5600000          -0.3965285           0.0011245
      0.7200000      0.5700000          -0.4044100           0.0010327
      0.7200000      0.5800000          -0.4127103           0.0009047
      0.7200000      0.5900000          -0.4164127           0.0006602
      0.7200000      0.6000000          -0.4194497           0.0008130
      0.7200000      0.6100000          -0.4204576           0.0003878
      0.7200000      0.6200000          -0.4224405           0.0006891
      0.7200000      0.6300000          -0.4217785           0.0005484
      0.7200000      0.6400000          -0.4198474           0.0007906
      0.7200000      0.6500000          -0.4188419           0.0006285
      0.7200000      0.6600000          -0.4153902           0.0008936
      0.7200000      0.6700000          -0.4121543           0.0008196
      0.7200000      0.6800000          -0.4056615           0.0012566
      0.7200000      0.6900000          -0.4008032           0.0007632
      0.7200000      0.7000000          -0.3966734           0.0010570
      0.7200000      0.7100000          -0.3907790           0.0009521
      0.7200000      0.7200000          -0.3863655           0.0011231
      0.7200000      0.7300000          -0.3788070           0.0022548
      0.7200000      0.7400000          -0.3727012           0.0016379
      0.7200000      0.7500000          -0.3653910           0.0022233
      0.7200000      0.7600000          -0.3536390           0.0015620
      0.7200000      0.7700000          -0.3459403           0.0013184
      0.7200000      0.7800000          -0.3435820           0.0024981
      0.7200000      0.7900000          -0.3277570           0.0024508
      0.7200000      0.8000000          -0.3162138           0.0016140
      0.7300000      0.4000000           0.2592513           0.0057184
      0.7300000      0.4100000           0.1695398           0.0034808
      0.7300000      0.4200000           0.0878507           0.0033893
