COST_FUNCTION:      MEAN_COST_FUNCTION:
 4659.4605386             5030.6732466
 4659.4605386             5163.1716125
 4659.4605386             5122.4457835
 4659.4605386             5119.7772114
 4659.4605386             5054.0208337
 4659.4605386             5224.3684322
 4659.4605386             5101.5317463
 4659.4605386             5110.5602202
 4659.4605386             5057.9584129
 4659.4605386             5053.5818004
 4659.4605386             5107.0531121
 4659.4605386             5127.1743136
 4659.4605386             5188.7594346
 4659.4605386             5000.0705605
 4659.4605386             5162.7842334
 4659.4605386             5083.0417276
 4659.4605386             5035.3882511
 4659.4605386             5183.5831401
 4659.4605386             5060.1662532
 4659.4605386             5074.2262176
 4659.4605386             5143.6520898
 4659.4605386             5090.6743235
 4659.4605386             5051.5211735
 4659.4605386             5045.3418069
 4659.4605386             5183.5624149
 4659.4605386             5189.2121917
 4659.4605386             5154.4157338
 4659.4605386             5060.9729079
 4659.4605386             5167.0967441
 4659.4605386             5060.6957048
 4659.4605386             5193.9128310
 4659.4605386             5103.3821656
 4659.4605386             5064.7961936
 4659.4605386             5143.6048213
 4659.4605386             5096.5182257
 4659.4605386             5132.5020060
 4659.4605386             5040.0312608
 4659.4605386             5149.6546510
 4659.4605386             5149.3711371
 4659.4605386             5026.7041322
 4659.4605386             5164.5771048
 4659.4605386             5186.9493805
 4659.4605386             5056.7493946
 4659.4605386             5126.2176085
 4659.4605386             5057.2260144
 4659.4605386             5092.8845353
 4659.4605386             5234.7652598
 4659.4605386             5200.5069096
 4659.4605386             5052.3170433
 4659.4605386             5130.3053829
 4659.4605386             5101.9201595
 4659.4605386             5126.8436678
 4659.4605386             5071.9049979
 4659.4605386             5105.7172112
 4659.4605386             5046.8030269
 4659.4605386             5120.0776862
 4659.4605386             5160.4762816
 4659.4605386             5100.4854456
 4659.4605386             5062.0616399
 4659.4605386             5112.4814690
 4659.4605386             5063.0604648
 4659.4605386             5177.1362732
 4659.4605386             5077.1089643
 4659.4605386             5173.7493181
 4659.4605386             5085.4267202
 4659.4605386             5211.3455356
 4659.4605386             5087.8133695
 4659.4605386             5041.4109945
 4659.4605386             5119.3428338
 4659.4605386             5102.0376390
 4659.4605386             5062.6177718
 4659.4605386             5067.1371545
 4659.4605386             5113.3069965
 4659.4605386             5086.1364919
 4659.4605386             5212.4349541
 4659.4605386             5078.7279190
 4659.4605386             5114.4293671
 4659.4605386             5110.4524378
 4659.4605386             5190.0233547
 4659.4605386             5095.5497718
 4659.4605386             5130.9361516
 4659.4605386             5171.3895364
 4659.4605386             5097.9811093
 4659.4605386             5198.1918275
 4659.4605386             5103.7676529
 4659.4605386             5112.5279010
 4659.4605386             5086.6896112
 4659.4605386             5064.5257697
 4659.4605386             5049.0783771
 4659.4605386             5059.0929053
 4659.4605386             5097.8517092
 4659.4605386             5113.3471871
 4659.4605386             5184.7140098
 4655.3577339             5010.2265519
 4659.4605386             5155.6688663
 4655.3577339             5040.2221231
 4659.4605386             5050.5123861
 4655.3577339             5082.7566640
 4659.4605386             5009.2441564
 4659.4605386             5145.6948707
 4655.3577339             5012.8737069
 4659.4605386             5189.8124941
 4659.4605386             5107.2758768
 4659.4605386             5135.6838966
 4655.3577339             4998.7667672
 4659.4605386             5116.1638365
 4655.3577339             5061.2208641
 4655.3577339             5192.8363301
 4655.3577339             5042.5929656
 4659.4605386             5057.4185360
 4659.4605386             5187.9092800
 4655.3577339             5151.9263758
 4659.4605386             5196.9275260
 4659.4605386             5051.5570012
 4655.3577339             5258.3276760
 4655.3577339             5105.8007840
 4659.4605386             5066.7852433
 4655.3577339             5064.3445734
 4655.3577339             5087.2883295
 4655.3577339             5101.2645255
 4655.3577339             5085.5026657
 4655.3577339             5117.9260356
 4655.3577339             5146.3542590
 4659.4605386             5082.7635597
 4655.3577339             5099.2036300
 4655.3577339             5117.8708433
 4655.3577339             5077.2282727
 4655.3577339             5070.8467531
 4655.3577339             5090.2610075
 4655.3577339             5079.7261075
 4655.3577339             5169.2748865
 4655.3577339             5110.8773012
 4655.3577339             5158.1594170
 4655.3577339             5122.3646492
 4655.3577339             5145.5718347
 4655.3577339             5121.7818365
 4655.3577339             5048.7690956
 4655.3577339             5083.0382122
 4655.3577339             5120.3056869
 4655.3577339             5132.3985562
 4655.3577339             5053.5751673
 4655.3577339             5073.1961077
 4655.3577339             5218.9623986
 4655.3577339             5023.5248808
 4655.3577339             5094.4829244
 4655.3577339             5124.1080163
 4655.3577339             5064.3900286
 4655.3577339             5160.6946378
 4655.3577339             5100.7157912
 4655.3577339             5112.7391096
 4655.3577339             5074.4680268
 4655.3577339             5177.8389347
 4655.3577339             5083.1266161
 4655.3577339             5015.1967864
 4655.3577339             5094.8754937
 4655.3577339             5112.9230025
 4655.3577339             5048.7257867
 4655.3577339             5195.3021070
 4655.3577339             5120.2252261
 4655.3577339             5066.8719141
 4655.3577339             5066.0365694
 4655.3577339             5137.8680335
 4655.3577339             5017.9984001
 4655.3577339             5170.1906515
 4655.3577339             5039.5780164
 4655.3577339             5092.4286291
 4655.3577339             5158.8235569
 4655.3577339             5075.0450203
 4655.3577339             5121.6447333
 4655.3577339             5081.1967671
 4655.3577339             5173.6418879
 4655.3577339             5090.2217664
 4655.3577339             5148.5165536
 4655.3577339             5201.1429893
 4655.3577339             5058.6040176
 4655.3577339             5184.7853207
